,play_id,game_id,home_team,away_team,total_home_score,total_away_score,game_date
445874,4367,2018120911,ARI,DET,3,16,2018-12-09
446042,4264,2018120913,OAK,PIT,24,21,2018-12-09
446239,4915,2018120912,DAL,PHI,29,23,2018-12-09
446422,4737,2018120901,CHI,LA,15,6,2018-12-09
446582,3991,2018121000,SEA,MIN,20,7,2018-12-10
446758,4418,2018121300,KC,LAC,28,29,2018-12-13
446937,4326,2018121500,NYJ,HOU,22,29,2018-12-15
447114,4478,2018121501,DEN,CLE,16,17,2018-12-15
447291,4608,2018121603,CHI,GB,24,17,2018-12-16
447455,4292,2018121602,BUF,DET,14,13,2018-12-16
447620,3917,2018121601,BAL,TB,20,12,2018-12-16
447802,4440,2018121600,ATL,ARI,39,14,2018-12-16
447992,4538,2018121604,CIN,OAK,30,16,2018-12-16
448169,4396,2018121608,NYG,TEN,0,17,2018-12-16
448335,3976,2018121607,MIN,MIA,41,16,2018-12-16
448494,3916,2018121606,JAX,WAS,12,16,2018-12-16
448663,4342,2018121605,IND,DAL,23,0,2018-12-16
448850,4837,2018121609,SF,SEA,26,23,2018-12-16
449013,4067,2018121610,PIT,NE,17,10,2018-12-16
449201,4760,2018121611,LA,PHI,23,30,2018-12-16
449370,4150,2018121700,CAR,NO,7,12,2018-12-17
